Name of Space Object,State/Organization,Date of Launch,Status,Date of Decay or Change,Function of Space Object,,,On-Board Computing Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/10/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/8/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(SXM-10),USA,6/7/2025,in GSO,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/4/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,6/3/2025,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
